task,dim,n_classes,n_per_class,n_total,threshold,margin,violation_rate,safe_rate_with_margin,total_pairs
speaker_verification,256,10,30,300,0.75,0.03125,0.0,1.0,44850
speaker_verification,256,50,30,1500,0.75,0.03125,0.0,1.0,1124250
speaker_verification,256,100,30,3000,0.75,0.03125,0.0,1.0,4498500
speaker_verification,256,500,6,3000,0.75,0.03125,0.0,1.0,4498500
speaker_verification,256,1000,3,3000,0.75,0.03125,0.0,1.0,4498500
speaker_verification,512,10,30,300,0.75,0.03125,0.0,1.0,44850
speaker_verification,512,50,30,1500,0.75,0.03125,0.0,1.0,1124250
speaker_verification,512,100,30,3000,0.75,0.03125,0.0,1.0,4498500
speaker_verification,512,500,6,3000,0.75,0.03125,0.0,1.0,4498500
speaker_verification,512,1000,3,3000,0.75,0.03125,0.0,1.0,4498500
anomaly_detection,32,10,50,500,0.75,0.03125,2.4e-05,0.999992,124750
anomaly_detection,32,50,50,2500,0.75,0.03125,1e-05,0.999996,3123750
anomaly_detection,32,100,30,3000,0.75,0.03125,6e-06,0.999998,4498500
anomaly_detection,64,10,50,500,0.75,0.03125,0.0,1.0,124750
anomaly_detection,64,50,50,2500,0.75,0.03125,0.0,1.0,3123750
anomaly_detection,64,100,30,3000,0.75,0.03125,0.0,1.0,4498500
anomaly_detection,128,10,50,500,0.75,0.03125,0.0,1.0,124750
anomaly_detection,128,50,50,2500,0.75,0.03125,0.0,1.0,3123750
anomaly_detection,128,100,30,3000,0.75,0.03125,0.0,1.0,4498500
